,Kod,Popis,Typ
16,0.2.1.4.2,"Identifikační číslo / výrobní číslo je vyraženo neschváleným, neoriginálním způsobem nebo způsob ražby nebo umístění ražby zjevně neodpovídá provedení výrobce vozidla nebo výměnného samostatného technického celku, přičemž v dokladech vozidla nebo dokladech od výměnného samostatného technického celku chybí zápis správního úřadu o obnovení původního VIN náhradní technologií nebo o vyražení přiděleného úředního čísla.",B
17,0.2.1.4.3,"Velikost znaků, způsob ražby nebo umístění ražby obnoveného původního VIN náhradní technologií nebo přiděleného úředního čísla neodpovídá požadavkům nebo údajům, uvedeným v dokladech vozidla nebo v dokladech výměnného samostatného technického celku (výměnná nástavba, pracovní stroj nesený).",B
18,0.2.2.1.2,"Povinný štítek výrobce, je-li vyžadován, chybí (u vozidla uvedeného do provozu od 01. 01.2002).",B
19,0.2.2.1.3,"Povinný štítek výrobce je nečitelný nebo předepsané údaje na štítku chybí (vyžaduje se vždy alespoň označení výrobce vozidla, VIN/ výrobní číslo podvozku).",B
20,0.2.2.1.4,"Vyznačené údaje na povinném štítku výrobce (v případě označení výrobce vozidla, VIN/výrobní číslo podvozku) neodpovídají údajům, uvedeným v dokumentaci vozidla nebo samostatného technického celku (výměnná nástavba, pracovní stroj nesený), nestanoví-li výrobce jinak.",B
21,0.2.2.2,"Způsob upevnění, provedení nebo způsob vyznačení údajů na povinném štítku výrobce svědčí o jeho pozměnění.",B
22,0.3.1.1,"Změna nebo úprava vozidla, která neodpovídá schválenému provedení nebo údajům, uvedeným v předložené dokumentaci k vozidlu (neschválená přestavba - pracovní stroj nesený, změna nástavby, karosérie, typ motoru, druh pohonu, změna hmotnosti nebo rozměru vozidla apod.).",B
23,0.3.1.2,"Je-li vyžadováno, není změna nebo úprava vozidla vyznačena v dokumentaci k vozidlu (dodatečná montáž tažného zařízení nebo ochranného rámu apod.).",B
24,0.3.2,V rozporu s požadavky zákona byla na počítadle ujeté vzdálenosti provedena změna záznamu o celkové ujeté vzdálenosti vozidla.,B
25,0.3.3,"Vozidlo je vybaveno poklicemi kol, které brání v provedení předepsaných kontrolních úkonů.",B
26,1.1.1.1.1,"U motocyklu je ruční páka brzdy obtížně pohyblivá, zjevně překračuje stanovené hodnoty pro jeho ovládání (maximální ovládací sílu).",B
27,1.1.1.1.2,Ovládací prvek provozní brzdy není zjevně pohyblivý.,C
28,1.1.1.2,Nadměrné opotřebení nebo nadměrná vůle v ovládacím prvku provozní brzdy.,B
29,1.1.2.1.1,Nadměrná vůle na počátku zdvihu ovládacího prvku brzdy (mrtvý chod).,B
30,1.1.2.1.2,Nedostatečná vůle na počátku zdvihu ovládacího prvku kapalinové brzdy.,B
31,1.1.2.1.3,Nedostatečná vzdálenost od podlahy (rezerva) na konci zdvihu ovládacího prvku kapalinové brzdy.,B
32,1.1.2.1.4,K vyvolání brzdného účinku je nutné opakované sešlápnutí / zmáčknutí ovládacího prvku provozní brzdy (např. při zavzdušnění).,C
33,1.1.2.2.1,Ovládací prvek provozní brzdy se po odbrzdění správně neuvolňuje.,B
34,1.1.2.2.2,Ovládací prvek provozní brzdy se po odbrzdění nevrací do původní polohy a kolo trvale přibrzďuje (je zablokováno).,C
35,1.1.2.3,"Protiskluzové pokrytí pedálu provozní brzdy chybí, je volné nebo opotřebené tak, že neplní svou funkci.",B
36,1.1.2.4,"U traktoru, který je vybaven zdvojeným brzdovým pedálem, chybí zařízení pro jeho spojení nebo zařízení není funkční.",B
37,1.1.2.5.1,U motocyklu na konci páky ruční brzdy chybí předepsané bezpečnostní zaoblení.,B
38,1.1.2.5.2,"Ovladač provozní brzdy (nožní pedál, ruční páka) deformovaný, ale brzda lze ovládat.",B
39,1.1.2.5.3,"Ovladač provozní brzdy (nožní pedál, ruční páka) naprasklý nebo ulomený nebo se nedá brzda spolehlivě ovládat.",C
40,1.1.2.5.4,"U motocyklu nelze nastavitelnou páčku nebo pedál provozní brzdy aretovat v požadované poloze, ale brzda lze ovládat.",B
41,1.1.2.5.5,U motocyklu nelze nastavitelnou páčku nebo pedál provozní brzdy aretovat v požadované poloze a provozní brzda nelze ovládat.,C
42,1.1.2.6.1,"Systém ovládání provozní brzdy vozidla neodpovídá požadavkům (např. u motocyklů kat. L5, L6, L7).",B
43,1.1.2.6.2,Některé předepsané ovládací prvky provozní brzdy chybí nebo byly z vozidla demontovány (např. u motocyklu).,C
44,1.1.3.1.1,Tlak vzduchu / podtlak je nedostatečný k zajištění nejméně 4 brždění po vstupu výstražného zařízení v činnost nebo je ručička manometru v poli nebezpečí.,B
45,1.1.3.1.2,Tlak vzduchu / podtlak je nedostatečný k zajištění nejméně 2 brždění po vstupu výstražného zařízení v činnost nebo je ručička manometru v poli nebezpečí.,C
46,1.1.3.2,Čas pro dosažení tlaku / podtlaku potřebného pro bezpečné účinné brždění je podle požadavků příliš dlouhý.,B
47,1.1.3.3.1,Víceokruhový jistící ventil nebo přetlakový ventil brzdové soustavy není funkční.,B
48,1.1.3.4.1,Slyšitelný únik vzduchu z kompresoru nebo víceokruhového jistícího ventilu nebo přetlakového ventilu.,B
49,1.1.3.4.2,"Únik vzduchu z kompresoru nebo víceokruhového jistícího ventilu nebo přetlakového ventilu, způsobuje znatelný pokles tlaku vzduchu v brzdovém systému.",C
50,1.1.3.5.1,"Vnější poškození kompresoru nebo víceokruhového jistícího ventilu nebo přetlakového ventilu nebo jejich uchycení, které může ovlivnit funkci brzdového systému.",B
51,1.1.3.5.2,"Vnější poškození kompresoru nebo víceokruhového jistícího ventilu nebo přetlakového ventilu nebo jejich uchycení, které bezprostředně ohrožuje funkci brzdového systému.",C
52,1.1.3.5.3,Nedostatečný účinek nouzového brždění.,C
53,1.1.3.6,"Nepovolená změna spočívající v odběru tlaku vzduchu pro vedlejší spotřebiče z potrubí nebo ze zařízení, které je umístěné před víceokruhovým jistícím ventilem nebo odběr tlaku vzduchu z některého brzdového okruhu.",B
54,1.1.4.1.1,"Některý manometr je vadný, avšak výstražná signalizace nízkého tlaku vzduchuje plně funkční.",B
55,1.1.4.1.2,"Optická kontrolka signalizace nízkého tlaku vzduchu se při ověření funkčnosti neuvede v činnost (např. vadná žárovka), ale akustická signalizace, je-li instalována, je plně funkční nebo naopak.",B
56,1.1.4.1.3,Signalizace nízkého tlaku vzduchu se při ověření funkčnosti neuvede v činnost nebo nefunguje správně nebo některý manometr je vadný či chybí a signalizace nízkého tlaku vzduchu nefunguje.,C
57,1.1.5.1,"Ovládací prvky ručně ovládaného brzdiče parkovací brzdy jsou poškozené nebo prasklé, nebo nadměrně opotřebené.",B
58,1.1.5.2.1,Ovládání ručně ovládaného brzdiče parkovací brzdy není spolehlivé nebo ručně ovládaný brzdič není spolehlivý.,B
59,1.1.5.2.2,Ovládání ručně ovládaného brzdiče parkovací brzdy je obtížné nebo ovládací prvky brzdiče jsou pro řidiče obtížně přístupné (nepovolená úprava).,B
60,1.1.5.3.1,U ručně ovládaného brzdiče parkovací brzdy slyšitelný únik vzduchu ze systému.,B
61,1.1.5.3.2,Únik vzduchu zručně ovládaného brzdiče parkovací brzdy způsobuje znatelný pokles tlaku vzduchu v brzdovém systému.,C
62,1.1.5.4,Ručně ovládaný brzdič parkovací brzdy není funkční.,B
63,1.1.5.5,Montáž nebo upevnění ručně ovládaného brzdiče parkovací brzdy na vozidle je uvolněné nebo není spolehlivé nebo neodpovídá požadavkům.,B
64,1.1.5.6,"Ručně ovládaný brzdič parkovací brzdy, je-li vyžadován, chybí (je demontován).",B
65,1.1.6.1.1,Parkovací brzda se nesnadno odjišťuje,A
66,1.1.6.1.2,"Západka nearetuje správně, ovládací páku parkovací brzdy nelze spolehlivě zajistit v pracovní poloze.",B
67,1.1.6.2.1,"Opotřebení v převodu ovladače parkovací brzdy nebo západkového mechanismu, které však nemá vliv na spolehlivost nebo funkci ovládání parkovací brzdy.",A
68,1.1.6.2.2,"Nadměrné opotřebení v převodu ovladače parkovací brzdy nebo západkového mechanismu, které má vliv na spolehlivost nebo funkci ovládání parkovací brzdy.",B
69,1.1.6.3.1,"Maximální brzdný účinek je dosažen až po více jak 2/3 celkového zdvihu ovladače parkovací brzdy, pokud výrobce nestanoví jinak.",B
70,1.1.6.3.2,Nedostatečná rezerva zdvihu ovladače parkovací brzdy.,B
71,1.1.6.4.1,Ovládací prvek parkovací brzdy (např. klika se šroubem) je obtížně pohyblivý.,B
72,1.1.6.4.2,Po odbrzdění se převod parkovací brzdy nevrací do původní polohy.,B
73,1.1.6.4.3,"Ovládací prvek parkovací brzdy (např. klika se šroubem) je v natolik zhoršeném technickém stavu (např. zkorodovaný, poškozený nebo nadměrně opotřebený), že není funkční.",B
74,1.1.6.4.4,"Ovládací prvek parkovací brzdy (např. klika se šroubem, páka) nebo některé ovládací prvky (lana, páky apod.) parkovací brzdy byly z vozidla nebo z nápravy zjevně demontovány (nepřípustný zásah do brzdového systému).",C
75,1.1.6.5.1,Výstražná signalizace činnosti parkovací brzdy nefunguje.,B
76,1.1.6.5.2,Výstražné signalizace parkovací brzdy signalizuje nesprávnou funkci parkovací brzdy.,B
77,1.1.7.1.1,"Vnější poškození brzdového ventilu, které nemá vliv na jeho funkci nebo spolehlivost.",A
78,1.1.7.1.2,"Vnější poškození brzdového ventilu, které může ovlivňovat funkci nebo spolehlivost brzdového systému.",B
79,1.1.7.1.3,Slyšitelný únik vzduchu z brzdového ventilu.,B
80,1.1.7.1.4,"Vnější poškození brzdového ventilu, které bezprostředně ovlivňuje funkci brzdového systému vozidla.",C
81,1.1.7.1.5,"Únik vzduchu z brzdového ventilu, způsobuje znatelný pokles tlaku vzduchu v brzdovém systému vozidla.",C
82,1.1.7.2.1,Brzdový ventil (vyfukovací část) je nadměrně znečištěný olejem z kompresoru.,A
83,1.1.7.2.2,Množství oleje z kompresoru způsobuje u brzdového ventilu (vyfukovací část) odkapávání oleje na vozovku.,B
84,1.1.7.3.1,Upevnění brzdového ventiluje uvolněné nebo není spolehlivé.,B
85,1.1.7.3.2,"Vadná montáž nebo upevnění brzdového ventilu bezprostředně ohrožuje funkci, těsnost nebo spolehlivost brzdové soustavy vozidla.",C
86,1.1.7.4.1,Vytékání brzdové kapaliny z nízkotlaké části kapalinových brzd (např. okolo nádobky na brzdovou kapalinu).,B
87,1.1.7.4.2,"Netěsnost u vysokotlaké části kapalinových brzd (např. brzdové válečky, zátěžové regulátory).",C
88,1.1.8.1.1,"Spojková hlavice je částečně opotřebená (obroušená), ale tato závada nemá vliv na její spolehlivost nebo těsnost.",A
89,1.1.8.1.2,"Vnější poškození pneumatického propojovacího vedení (hadice), které nemá vliv na jeho spolehlivost či těsnost.",A
90,1.1.8.1.3,Nevhodná délka pneumatického propojovacího vedení (hadice příliš krátké / dlouhé) nebo způsob vedení mezi vozidly může způsobit poškození spojovacího vedení.,A
91,1.1.8.1.4,Spojková hlavice je poškozená nebo nadměrně opotřebená nebo mechanismus spojení hlavic je vadný nebo není spolehlivý.,B
92,1.1.8.1.5,Automatický uzavírací ventil spojkové hlavice je vadný.,B
93,1.1.8.1.6,"Vnější poškození pneumatického propojovacího vedení (hadice), které má vliv na jeho spolehlivost či těsnost nebo použité pneumatické propojovací vedení neodpovídá požadavkům.",B
94,1.1.8.2.1,"Vnější poškození izolace elektrického ovládacího vedení (elektrický kabel) systému ABS / EBS / ESC, které nemá vliv na jeho funkci či spolehlivost.",A
95,1.1.8.2.2,Nevhodná délka elektrického ovládacího vedení systému ABS / EBS / ESC (kabel příliš krátký / dlouhý) nebo způsob vedení mezi vozidly může způsobit jeho poškození.,A
96,1.1.8.2.3,"Vnější poškození elektrického konektoru systému ABS/EBS/ESC, které však nemá vliv na jeho funkci či spolehlivost nebo bezpečnostní pojistka pro spojení konektorů je deformovaná, avšak funkční.",A
97,1.1.8.2.4,"Vnější poškození izolace elektrického ovládacího vedení (elektrický kabel) systému ABS /EBS /ESC, které může ovlivňovat jeho funkci či spolehlivost nebo použité elektrické ovládací vedení neodpovídá požadavkům.",B
98,1.1.8.2.5,"Vnější poškození elektrického konektoru systému ABS/EBS/ESC, které může ovlivňovat jeho funkci či spolehlivost nebo bezpečnostní pojistka pro spojení konektorů není funkční nebo chybí.",B
99,1.1.8.3.1,Spojení spojkové hlavice s pneumatickým propojovacím vedením (hadicí) je uvolněné nebo poškozené avšak nemá vliv na těsnost nebo spolehlivost spojení.,A
100,1.1.8.3.2,Spojení elektrického konektoru ABS / EBS / ESC s elektrickým ovládacím vedením (elektrickým kabelem) je uvolněné nebo poškozené avšak nemá vliv na spolehlivost přenosu dat.,A
101,1.1.8.3.3,Spojková hlavice je vadně namontovaná k pneumatickému propojovacímu vedení nebo k vozidlu nebo spojení spojkové hlavice s pneumatickým propojovacím vedením (hadicí) není spolehlivé.,B
102,1.1.8.3.4,Elektrický konektor ABS /EBS je zjevně vadně namontován k elektrickému ovládacímu vedení (kabelu) nebo k vozidlu nebo spojení konektoru s kabelem není spolehlivé.,B
103,1.1.8.4.1,Slyšitelný únik vzduchu ze spojovacích prvků pneumatického ovládacího vedení mezi tažným a taženým vozidlem.,B
104,1.1.8.4.2,Únik vzduchu ze spojovacích prvků pneumatického ovládacího vedení mezi tažným a taženým vozidlem způsobuje znatelný pokles tlaku vzduchu v brzdovém systému.,C
105,1.1.8.5.1,"Použití nevhodného elektrického ovládacího vedení (propojovacího kabelu) určeného pro systém ABS (konektor s počtem pinů 5), k ovládání přípojného vozidla, které je vybaveno systémem EBS (konektor s počtem pinů 7).",B
106,1.1.8.5.2,Propojení pneumatického ovládacího vedení (hadice) mezi tažným a taženým vozidlem chybí nebo není funkční (úmyslné vyřazení vzduch. brzd z provozu).,C
107,1.1.8.6.1,Nebezpečná úprava některého prvku pneumatického propojovacího vedení (hadice / spojková hlavice).,B
108,1.1.8.6.2,Nebezpečná úprava některého prvku elektrického ovládacího vedení systému ABS / EBS / ESC (konektor / kabel).,B
109,1.1.8.6.3,"Nebezpečná úprava prvků pneumatického propojovacího vedení, která bezprostředně ohrožuje bezpečnost jízdy jízdní soupravy (hadice / spojková hlavice).",C
110,1.1.9.1.1,"Povrchová koroze / oxidace vzduchojemu, která nemá vliv na jeho těsnost nebo spolehlivost.",A
111,1.1.9.1.2,"Vzduchojem je nadměrně zkorodovaný nebo poškozený tak, že může být ohrožena jeho těsnost nebo spolehlivost.",B
112,1.1.9.1.3,Slyšitelný únik vzduchu ze vzduchojemu nebo spojů.,B
113,1.1.9.1.4,Únik vzduchu ze vzduchojemu nebo spojů způsobuje znatelný pokles tlaku vzduchu v brzdovém systému.,C
114,1.1.9.2.1,"Dálkové ovládání odkalovacího zařízení vzduchojemu, je-li vyžadováno, chybí nebo není funkční (autobusy).",A
115,1.1.9.2.2,Odkalovací zařízení není umístěno ve spodní části vzduchojemu nebo není snadno přístupné nebo po použití nelze uzavřít a slyšitelně zněj uniká vzduch.,B
116,1.1.9.2.3,"Odkalovací zařízení vzduchojemu není přístupné, chybí nebo není funkční nebo po použití nelze uzavřít a způsobuje znatelný pokles tlaku vzduchu v brzdovém systému vozidla.",C
117,1.1.9.3.1,Uchycení vzduchojemu je uvolněné nebo neodpovídá požadavkům nebo jeho způsob montáže neodpovídá požadavkům.,B
118,1.1.9.3.2,"Vzduchojem je upevněn nespolehlivě a hrozí jeho upadnutí, které může vyřadit část brzdového systému z činnosti.",C
119,1.1.10.1.1,"Posilovač brzd je poškozený, ale ovládací síla na brzdový pedál nepřekračuje stanovenou maximální hodnotu.",B
120,1.1.10.1.2,Činnost posilovače brzd narušuje odstupňovatelnost brzdného účinku.,B
121,1.1.10.1.3,"Posilovač brzd je neúčinný, ovládací síla na brzdový pedál překračuje stanovenou maximální hodnotu (neposiluje).",C
122,1.1.10.2.1,"Při trvalém sešlápnutí brzdového pedálu znatelné propadávání pedálu k podlaze (vnitřní netěsnost), pokud výrobce nestanoví jinak.",B
123,1.1.10.2.2,"Hlavní brzdový válec je vadný nebo netěsný, nelze vyvolat předepsaný brzdný účinek.",C
124,1.1.10.3.1,Uchycení hlavního brzdového válce uvolněné nebo některý prvek uchycení je poškozený nebo chybí.,B
125,1.1.10.3.2,"Hlavní brzdový válec nespolehlivě namontovaný nebo část vozidla, určená pro montáž hlavního brzdového válce, se deformuje nebo pohybuje při sešlápnutí brzdového pedálu.",C
126,1.1.10.4.1,Množství brzdové kapaliny pod vyznačenou značkou MIN.,B
127,1.1.10.4.2,Množství brzdové kapaliny nelze zkontrolovat (nepřístupná nádobka).,B
128,1.1.10.4.3,V nádobce není brzdová kapalina.,C
129,1.1.10.6.1,"Chybí víčko nádržky brzdové kapaliny, avšak nehrozí bezprostřední znečištění brzdové kapaliny (např. pod kapotou).",B
130,1.1.10.6.2,Chybí víčko nádržky brzdové kapaliny a brzdová kapalina je bezprostředně vystavena znečištění a úniku (např. u vzduchokapalinových strojních brzd užitkových vozidel).,C
131,1.1.10.7,"Výstražná signalizace hladiny brzdové kapaliny signalizuje závadu nebo je-li vyžadována, chybí nebo je zjevně vadná.",B
132,1.1.10.8,"Zařízení pro indikaci poklesu hladiny brzdové kapaliny je poškozené, neúplné nebo chybí nebo zjevně nefunguje nebo nefunguje správně.",B
133,1.1.11.1,Bezprostřední riziko závady nebo prasknutí brzdového potrubí.,C
134,1.1.11.2.1,Slyšitelný únik vzduchu z brzdového potrubí nebo spojů.,B
135,1.1.11.2.2,Únik vzduchu z brzdového potrubí nebo spojů působící znatelný pokles tlaku v brzdovém systému.,C
136,1.1.11.2.3,Z brzdového potrubí nebo spojů únik brzdové kapaliny.,C
137,1.1.11.3.1,Mírná povrchová koroze / oxidace brzdového potrubí.,A
138,1.1.11.3.2,Brzdové potrubí nebo spojovací prvky jsou poškozeny nebo deformovány nebojsou nadměrně zkorodovány (tzv. hloubková koroze).,B
139,1.1.11.3.3,PA brzdové potrubí zkroucené nebo zmáčknuté nebo se vzájemně odírá nebo nese známky zalomení nebo jiného poškození.,B
140,1.1.11.3.4,PA brzdové potrubí zalomeno.,C
141,1.1.11.4.1,"Některá část uchycení brzdového potrubí uvolněná, ale tato závada nemůže způsobit jeho poškození.",A
142,1.1.11.4.2,"Brzdové potrubí nesprávně uchycené nebo vedené, takže může dojít k jeho poškození nebo minimální poloměr ohybu nebo minimální vzdálenost od tepelného zdroje u PA brzdového potrubí neodpovídá požadavkům a zvyšuje riziko jeho poškození.",B
143,1.1.12.1,Bezprostřední riziko závady nebo prasknutí brzdové hadice.,C
144,1.1.12.2.1,"Brzdová hadice na povrchu odřená, popraskaná, ale není poškozena (vidět) druhá spodní vrstva hadice.",A
145,1.1.12.2.2,"Brzdová hadice zkroucená, popraskaná nebo odřená tak, že je zasažena (vidět) druhá spodní vrstva hadice.",B
146,1.1.12.2.3,Poškození brzdové hadice z důvodu chybného umístění nebo uchycení nebo nevhodné délky (příliš krátké / dlouhé) nebo malého poloměru ohybu.,B
147,1.1.12.3.1,Slyšitelný únik vzduchu z brzdové hadice nebo spojů.,B
148,1.1.12.3.2,Únik vzduchu z brzdové hadice nebo spojů působící znatelný pokles tlaku v brzdovém systému.,C
149,1.1.12.3.3,Z brzdové hadice nebo spojů únik brzdové kapaliny.,C
150,1.1.12.4,Objemová deformace (vyboulení) brzdové hadice pod plným tlakem.,C
151,1.1.12.5.1,Brzdová hadice pórovitá nebo narušená od působení ropných látek (rozleptaná).,B
152,1.1.12.5.2,"Značné narušení brzdové hadice od působení ropných látek (rozleptaní), které bezprostředně ovlivňuje její spolehlivost (těsnost).",C
153,1.1.12.6,Způsob montáže nebo uchycení brzdových hadic neodpovídá požadavkům.,A
154,1.1.13.1.1,Brzdové obložení nebo brzdové destičky jsou poškozené nebo zjevně nadměrně opotřebované nebo indikátory opotřebení signalizují opotřebení pod minimální hodnotu stanovenou výrobcem.,B
155,1.1.13.1.2,"Brzdové obložení nebo brzdové destičky poškozené nebo opotřebované natolik, že kolo zjevně nedosahuje požadovaný brzdný účinek.",C
156,1.1.13.2.1,"Zjevné povrchové znečištění brzdových destiček nebo brzdového obložení (olejem, tukem apod.) - zjevně snížený brzdný účinek kola.",B
157,1.1.13.2.2,"Zjevné povrchové znečištění brzdových destiček nebo brzdového obložení (olejem, tukem apod.) - kolo zjevně nebrzdí.",C
158,1.1.13.3,Některé brzdové obložení nebo brzdová destička chybí nebo není zjevně v souladu s požadavky výrobce.,C
159,1.1.14.1.1,"Brzdový kotouč nadměrně zkorodovaný (hloubková koroze) - poškozená funkční plocha zjevně nepřesahuje 1/5 její šířky nebo brzdový kotouč s rýhami zjevně nepřesahující hloubku rýhy 1,5 mm.",A
160,1.1.14.1.2,Brzdový kotouč nadměrně zkorodovaný (hloubková koroze) - poškozená funkční plocha zjevně přesahuje 1/5 její šířky.,B
161,1.1.14.1.3,Brzdový buben nebo kotouč zjevně nadměrně opotřebený (zeslabený).,B
162,1.1.14.1.4,"Brzdový kotouč s rýhami zjevně přesahující hloubku rýhy 1,5 mm.",B
163,1.1.14.1.5,"Brzdový kotouč s lomem (trhlinou) ve funkční části kotouče, který zasahuje do jeho okraje, nebo trhlina v délce přesahující zjevně 2/3 šířky funkční plochy kotouče nebo trhlina o šířce nebo hloubce přesahující zjevně 1,5 mm",B
164,1.1.14.1.6,"Brzdový kotouč s jakoukoliv trhlinou na upevňovací přírubě brzdového kotouče nebo s chybějící (ulomenou nebo opotřebenou) částí kotouče nebo s nadměrnými lomy (trhlinami) ve funkční části kotouče, které zasahují do jeho okraje, které vzhledem k rozsahu poškození brzdového kotouče bezprostředně ohrožují bezpečnost provozu (např. nebezpečí roztrhnutí kotouče).",C
165,1.1.14.1.7,Brzdový buben zjevně s lomy (prasklý).,C
166,1.1.14.2.1,"Brzdový buben nebo kotouč zjevně znečištěný (olejem, tukem apod.).",B
167,1.1.14.2.2,"Brzdový buben nebo kotouč zjevně znečištěný (olejem, tukem apod.), narušený brzdný účinek.",C
168,1.1.14.3,Některý brzdový buben nebo brzdový kotouč chybí.,C
169,1.1.14.4,"Brzdový štít, je-li vyžadován, chybí nebo chybí jeho část nebo není spolehlivě uchycen nebo je poškozen tak, že neplní svoji funkci.",B
170,1.1.14.5.1,Brzdový třmen uvolněný.,B
171,1.1.14.5.2,Brzdový třmen chybí nebo je vyřazen z provozu.,C
172,1.1.14.6.1,Brzdový kotouč uvolněný (např. u brzdového kotouče motocyklu uvolněné nosné čepy).,B
173,1.1.14.6.2,Brzdový kotouč uvolněný a tato závada bezprostředně ohrožuje bezpečnost jízdy vozidla (např. u brzdového kotouče motocyklu uvolněné nosné čepy).,C
174,1.1.15.1.1,"Brzdové lano poškozené, popraskané, zkorodované nebo zauzlované.",B
175,1.1.15.1.2,"Brzdové lano chybí nebo je v tak zhoršeném technickém stavu (např. nadměrně zkorodované, poškozené nebo popraskané), že není funkční nebo spolehlivé.",C
176,1.1.15.2.1,"Brzdové vodící kladky, pákoví nebo táhla nadměrně zkorodované, opotřebované nebo zdeformované.",B
177,1.1.15.2.2,"Brzdové vodící kladky, pákoví nebo táhla jsou v tak zhoršeném technickém stavu (např. nadměrně zkorodované, opotřebované nebo zdeformované), že nejsou funkční nebo spolehlivé.",C
178,1.1.15.3.1,"Uchycení lanovodů nebo spojení brzdových lan, táhel nebo pákoví je uvolněné, poškozené nebo spojení či zajištění spojení neodpovídá požadavkům.",B
179,1.1.15.3.2,"Uchycení lanovodů nebo spojení brzdových lan, táhel nebo pákoví je natolik nespolehlivé, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
180,1.1.15.4.1,"Vnější poškození lanovodů (bowdenů), které nemá vliv na jeho funkci.",A
181,1.1.15.4.2,"Lanovody (bowdeny) vadné nebo poškozeny tak, že mají vliv na jejich funkci.",C
182,1.1.15.5.1,"Omezení volného pohybu brzdových lan, lanovodů, táhel nebo pák brzdového systému.",B
183,1.1.15.5.2,"Omezení volného pohybu brzdových lan, lanovodů, táhel nebo pák brzdového systému, které má za následek malou účinnost brzd nebo které způsobuje trvalé přibrzďování.",C
184,1.1.15.6.1,Pohyby pák / táhel brzdového systému svědčící o nadměrném opotřebení nebo o nesprávném seřízení.,B
185,1.1.15.6.2,"Pohyby pák / táhel brzdového systému svědčící o nadměrném opotřebení nebo o nesprávném seřízení, které má za následek malou účinnost brzd nebo které způsobuje trvalé přibrzďování.",C
186,1.1.16.1.1,"Brzdový válec poškozený, prasklý (např. upevňovací úchyty) nebo nadměrně zkorodovaný.",B
187,1.1.16.1.2,"Brzdový válec je vyřazen z provozu nebo chybí nebo je v tak zhoršeném technickém stavu, že není funkční.",C
188,1.1.16.2.1,Slyšitelný únik vzduchu z brzdového válce.,B
189,1.1.16.2.2,"Únik vzduchu z brzdového válce, působící znatelný pokles tlaku v brzdovém systému.",C
190,1.1.16.2.3,Únik brzdové kapaliny z hydraulického brzdového válečku.,C
191,1.1.16.3.1,"Montáž některého ze spojovacích prvků uchycení brzdového válce / válečku je nespolehlivá, některý spojovací prvek uchycení brzdového válce / válečku je uvolněný nebo chybí nebo je prasklý úchyt (lože) brzdového válce.",B
192,1.1.16.3.2,Brzdový válec je utržený nebo je prasklý úchyt (lože) a bezprostředně hrozí upadnutí brzdového válce.,C
193,1.1.16.4.1,Nadměrný zdvih pístu nebo membrány brzdového válce není v souladu s požadavky.,B
